first_name,last_name,company_name,address,city,county,state,zip,phone1,email,SocialMedia,SocialMediaHandles
Graciela,Ruta,Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425,gruta@cox.net,Facebook,Graciela Ruta
Solange,Kolmetz,,,,,,,303-874-5160,,,
Chanel,Perin,Branford Wire & Mfg Co,,Kulpsville,Montgomery,PA,19443,,ChanelPerin254@yahoo.com,,
Dominque,Dickerson,E A I Electronic Assocs Inc,69 Marquette Ave,Hayward,Alameda,CA,94545,510-993-3758,dominque.dickerson@dickerson.org,Twitter,dominque.dickerson
Viva,,Commercial Press,,San Jose,Santa Clara,CA,95111,,Viva122@gmail.com,,
Jina,,"Sider, Donald C Esq",,Baltimore,Baltimore City,MD,21224,803-681-3678,Jina165@aol.com,,
Stephen,Albares,,,,,,,215-422-8694,StephenAlbares280@gmail.com,,
Cecily,,Parkway Company,,San Jose,Santa Clara,CA,95111,,Cecily270@hotmail.com,,
Maryann,,,,,,,,,Maryann117@aol.com,,
Kris,,,,,,,,,Kris366@hotmail.com,,
Yuki,Giguere,"Chemel, James L Cpa",,Bridgeport,Gloucester,NJ,8014,,YukiGiguere379@yahoo.com,,
Valentine,Gillian,Fbs Business Finance,775 W 17th St,San Antonio,Bexar,TX,78204,210-812-9597,valentine_gillian@gmail.com,Facebook,Valentine Gillian
Elvera,Vanheusen,Truhlar And Truhlar Attys,,Sioux Falls,Minnehaha,SD,57105,,ElveraVanheusen244@aol.com,,
Devorah,Dickerson,Chinese Translation Resources,,San Jose,Santa Clara,CA,95111,,,,
Blair,Chui,Killion Industries,,Kulpsville,Montgomery,PA,19443,,BlairChui214@yahoo.com,,
Meaghan,Uyetake,Q A Service,,Baltimore,Baltimore City,MD,21224,,MeaghanUyetake316@hotmail.com,,
Amber,Dilliard,Anker Law Office,,Laredo,Webb,TX,78045,907-335-6568,,,
James,Butt,"Benton, John B Jr",6649 N Blue Gum St,New Orleans,Orleans,LA,70116,504-621-8927,jbutt@gmail.com,Twitter,jbutt
Bette,,,,,,,,,,,
Graciela,Gato,,,,,,,,GracielaGato161@yahoo.com,,
Elly,Morocco,Killion Industries,7 W 32nd St,Erie,Erie,PA,16502,814-393-5571,elly_morocco@gmail.com,Facebook,Elly Morocco
Kiley,,,,,,,,,Kiley220@yahoo.com,,
Wilda,Giguere,"Mclaughlin, Luther W Cpa",1747 Calle Amanecer #2,Anchorage,Anchorage,AK,99501,907-870-5536,wilda@cox.net,Twitter,wilda
Micaela,Rhymes,H Lee Leonard Attorney At Law,20932 Hedley St,Concord,Contra Costa,CA,94520,925-647-3298,micaela_rhymes@gmail.com,Instagram,micaela_rhymes
Jina,Briddick,Grace Pastries Inc,38938 Park Blvd,Boston,Suffolk,MA,2128,617-399-5124,jina_briddick@briddick.com,Facebook,Jina Briddick
Ernie,Stenseth,Knwz Newsradio,45 E Liberty St,Ridgefield Park,Bergen,NJ,7660,201-709-6245,ernie_stenseth@aol.com,Twitter,ernie_stenseth
Kati,Wenner,Buckley Miller & Wright,,Hamilton,Butler,OH,45011,215-417-9563,,,
Cory,,,,,,,,,,,
Tammara,,"Dorl, James J Esq",,Kulpsville,Montgomery,PA,19443,,Tammara358@hotmail.com,,
Bernardo,Figeroa,"Clark, Richard Cpa",386 9th Ave N,Conroe,Montgomery,TX,77301,936-336-3951,bfigeroa@aol.com,Twitter,bfigeroa
Elvera,Benimadho,Tree Musketeers,99385 Charity St #840,San Jose,Santa Clara,CA,95110,408-703-8505,elvera.benimadho@cox.net,Facebook,Elvera Benimadho
Kallie,,,,,,,,212-934-5167,Kallie219@yahoo.com,,
Maurine,Yglesias,"Schultz, Thomas C Md",59 Shady Ln #53,Milwaukee,Milwaukee,WI,53214,414-748-1374,maurine_yglesias@yglesias.com,Instagram,maurine_yglesias
Minna,Amigon,"Dorl, James J Esq",2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,215-874-1229,minna_amigon@yahoo.com,Facebook,Minna Amigon
Erick,,,,,,,,,Erick202@yahoo.com,,
Art,Wieser,,,,,,,317-472-2412,ArtWieser189@yahoo.com,,
James,,Abc Enterprises Inc,,Miami,Miami-Dade,FL,33196,703-475-7568,James100@hotmail.com,,
Marjory,Mastella,Vicon Corporation,71 San Mateo Ave,Wayne,Delaware,PA,19087,610-814-5533,mmastella@mastella.com,Twitter,mmastella
Minna,Pugh,Feltz Printing Service,,Anchorage,Anchorage,AK,99501,,MinnaPugh289@gmail.com,,
Blair,Malet,Bollinger Mach Shp & Shipyard,209 Decker Dr,Philadelphia,Philadelphia,PA,19132,215-907-9111,bmalet@yahoo.com,Facebook,Blair Malet
Tyra,,Post Box Services Plus,,Chicago,Cook,IL,60632,410-804-4694,Tyra373@gmail.com,,
Carma,Vanheusen,Springfield Div Oh Edison Co,68556 Central Hwy,San Leandro,Alameda,CA,94577,510-503-7169,carma@cox.net,Facebook,Carma Vanheusen
Delisa,Crupi,Wood & Whitacre Contractors,47565 W Grand Ave,Newark,Essex,NJ,7105,973-354-2040,delisa.crupi@crupi.com,Facebook,Delisa Crupi
Youlanda,Inouye,"Ingalls, Donald R Esq",,Laredo,Webb,TX,78045,401-559-8961,YoulandaInouye367@gmail.com,,
Ezekiel,Iturbide,Saronix Nymph Products,,Middle Island,Suffolk,NY,11953,919-715-3791,,,
Erick,Ferencz,Cindy Turner Associates,20 S Babcock St,Fairbanks,Fairbanks North Star,AK,99712,907-741-1044,erick.ferencz@aol.com,Twitter,erick.ferencz
Moon,Briddick,,,,,,,518-448-8982,MoonBriddick150@gmail.com,,
Willard,Poquette,"King, Christopher A Esq",,Baltimore,Baltimore City,MD,21224,410-957-6903,,,
Rozella,Ostrosky,Parkway Company,17 Morena Blvd,Camarillo,Ventura,CA,93012,805-832-6163,rozella.ostrosky@ostrosky.com,Instagram,rozella.ostrosky
Carmelina,Lindall,George Jessop Carter Jewelers,2664 Lewis Rd,Littleton,Douglas,CO,80126,303-724-7371,carmelina_lindall@lindall.com,Instagram,carmelina_lindall
Natalie,Fern,"Kelly, Charles G Esq",7140 University Ave,Rock Springs,Sweetwater,WY,82901,307-704-8713,natalie.fern@hotmail.com,Twitter,natalie.fern
