first_name,last_name,company_name,address,city,county,state,zip,phone1,email,SocialMedia,SocialMediaHandles
Graciela,Ruta,Buckley Miller & Wright,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,44023,440-780-8425,gruta@cox.net,Facebook,Graciela Ruta
Solange,Kolmetz,,,,,,,303-874-5160,,,
Chanel,Perin,Branford Wire & Mfg Co,,Kulpsville,Montgomery,PA,19443,,ChanelPerin254@yahoo.com,,
Dominque,Dickerson,E A I Electronic Assocs Inc,69 Marquette Ave,Hayward,Alameda,CA,94545,510-993-3758,dominque.dickerson@dickerson.org,Twitter,dominque.dickerson
Viva,,Commercial Press,,San Jose,Santa Clara,CA,95111,,Viva122@gmail.com,,
Jina,,"Sider, Donald C Esq",,Baltimore,Baltimore City,MD,21224,803-681-3678,Jina165@aol.com,,
Stephen,Albares,,,,,,,215-422-8694,StephenAlbares280@gmail.com,,
Cecily,,Parkway Company,,San Jose,Santa Clara,CA,95111,,Cecily270@hotmail.com,,
Maryann,,,,,,,,,Maryann117@aol.com,,
Kris,,,,,,,,,Kris366@hotmail.com,,
